,Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y/A,TD.1,Tgt,Rec,Yds.2,Y/R,TD.2,Fmb,FL,TD.3,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,PlayerID
57,58.0,Saquon Barkley,NYG,RB,26.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,165.0,697.0,4.22,1.0,40.0,28.0,168.0,6.0,4.0,1.0,1.0,5.0,,,115.0,142.5,149.5,128.5,9.0,18.0,58.0,BarkSa00
58,59.0,Jahmyr Gibbs,DET,RB,21.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,109.0,566.0,5.19,5.0,52.0,41.0,278.0,6.78,0.0,0.0,0.0,5.0,,,114.0,155.4,161.4,134.9,9.0,19.0,59.0,GibbJa01
59,60.0,Tony Pollard,DAL,RB,26.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,160.0,669.0,4.18,4.0,46.0,39.0,233.0,5.97,0.0,3.0,1.0,4.0,1.0,,114.0,153.2,160.2,133.7,8.0,20.0,60.0,PollTo00
60,61.0,Jake Ferguson,DAL,TE,24.0,11.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,58.0,40.0,421.0,10.53,4.0,0.0,0.0,4.0,,,66.0,106.1,109.1,86.1,8.0,9.0,61.0,FergJa00
61,62.0,DeAndre Hopkins,TEN,WR,31.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,0.0,83.0,45.0,699.0,15.53,4.0,0.0,0.0,4.0,,,94.0,139.4,142.4,116.9,8.0,25.0,62.0,HopkDe00
62,63.0,Brock Purdy,SFO,QB,24.0,11.0,11.0,214.0,305.0,2871.0,19.0,6.0,33.0,122.0,3.7,2.0,0.0,0.0,0.0,,0.0,6.0,2.0,2.0,,,199.0,199.0,213.0,205.0,7.0,9.0,63.0,PurdBr00
63,64.0,Breece Hall,NYJ,RB,22.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,124.0,569.0,4.59,2.0,49.0,38.0,320.0,8.42,2.0,2.0,0.0,4.0,,,113.0,150.9,156.9,131.9,7.0,21.0,64.0,HallBr03
64,65.0,Jordan Love,GNB,QB,25.0,11.0,11.0,225.0,372.0,2599.0,19.0,10.0,37.0,221.0,5.97,2.0,0.0,0.0,0.0,,0.0,6.0,0.0,2.0,,2.0,198.0,198.1,214.1,208.1,6.0,10.0,65.0,LoveJo03
65,66.0,Christian Kirk,JAX,WR,27.0,11.0,11.0,1.0,2.0,-1.0,0.0,0.0,1.0,6.0,6.0,0.0,84.0,56.0,761.0,13.59,3.0,2.0,2.0,3.0,,,91.0,146.7,151.7,118.7,5.0,26.0,66.0,KirkCh01
66,67.0,Joshua Dobbs,2TM,QB,28.0,12.0,11.0,252.0,394.0,2401.0,13.0,10.0,72.0,400.0,5.56,6.0,0.0,0.0,0.0,,0.0,14.0,7.0,6.0,2.0,1.0,196.0,196.0,219.0,206.0,4.0,11.0,67.0,DobbJo00
67,68.0,Jerome Ford,CLE,RB,24.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,145.0,628.0,4.33,3.0,41.0,27.0,163.0,6.04,2.0,1.0,1.0,5.0,1.0,,109.0,136.1,143.1,122.6,4.0,22.0,68.0,FordJe00
68,69.0,Amari Cooper,CLE,WR,29.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,86.0,47.0,765.0,16.28,2.0,1.0,0.0,2.0,,,89.0,135.5,138.5,112.0,3.0,27.0,69.0,CoopAm00
