Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,PlayerID
289,Ty Chandler,MIN,RB,25,6,0,0,0,0,0,0,8,42,5.25,0,5,4,31,7.75,0,0,0,0,,,7,11.3,11.3,9.3,,79,,ChanTy01
290,Jimmy Graham,NOR,TE,37,6,1,0,0,0,0,0,0,0,,0,2,1,8,8.00,1,0,0,1,,,7,7.8,7.8,7.3,,55,,GrahJi00
291,Keaontay Ingram,ARI,RB,24,4,1,0,0,0,0,0,22,55,2.50,0,3,3,19,6.33,0,0,0,0,,,7,10.4,10.4,8.9,,78,,IngrKe01
292,Andrei Iosivas,CIN,WR,24,6,0,0,0,0,0,0,0,0,,0,3,2,12,6.00,1,0,0,1,,,7,9.2,9.2,8.2,,121,,IosiAn00
293,Charlie Jones,CIN,WR,25,3,0,0,0,0,0,0,0,0,,0,2,1,6,6.00,0,0,0,1,,,7,7.6,7.6,7.1,,124,,JoneCh11
294,John Metchie,HOU,WR,23,5,0,0,0,0,0,0,0,0,,0,7,6,72,12.00,0,0,0,0,,,7,13.2,13.2,10.2,,122,,MetcJo00
295,Boston Scott,PHI,RB,28,5,0,0,0,0,0,0,8,45,5.63,0,2,2,21,10.50,0,0,0,0,,,7,8.6,8.6,7.6,,81,,ScotBo02
296,Cedrick Wilson Jr.,MIA,WR,28,4,0,0,0,0,0,0,0,0,,0,6,5,68,13.60,0,0,0,0,,,7,11.8,11.8,9.3,,123,,WilsCe01
297,Tyson Bagent,CHI,QB,23,1,0,10,14,83,0,1,2,4,2.00,1,0,0,0,,0,1,1,1,,,6,5.7,7.7,6.7,,37,,BageTy00
298,Nick Bawden,NYJ,RB,27,6,1,0,0,0,0,0,1,1,1.00,1,0,0,0,,0,0,0,1,,,6,6.1,6.1,6.1,,83,,BawdNi00
299,Andrew Beck,HOU,RB,27,6,6,0,0,0,0,0,2,2,1.00,0,1,0,0,,0,0,0,1,,,6,6.2,6.2,6.2,,82,,BeckAn01
300,Noah Brown,HOU,WR,27,2,0,0,0,0,0,0,1,-1,-1.00,0,9,5,57,11.40,0,0,0,0,,,6,10.6,10.6,8.1,,126,,BrowNo00
301,Josiah Deguara,GNB,TE,26,5,3,0,0,0,0,0,0,0,,0,7,7,58,8.29,0,0,0,0,,,6,12.8,12.8,9.3,,58,,DeguJo00
302,Will Dissly,SEA,TE,27,4,4,0,0,0,0,0,0,0,,0,6,6,56,9.33,0,0,0,0,,,6,11.6,11.6,8.6,,59,,DissWi00
303,Alec Ingold,MIA,RB,27,6,6,0,0,0,0,0,2,0,0.00,0,3,3,57,19.00,0,0,0,0,,,6,8.7,8.7,7.2,,86,,IngoAl01
304,Juwan Johnson,NOR,TE,27,3,3,0,0,0,0,0,0,0,,0,12,7,61,8.71,0,0,0,0,,,6,13.1,13.1,9.6,,56,,JohnJu02
305,Brandon Powell,MIN,WR,28,6,0,0,0,0,0,0,2,8,4.00,0,11,8,68,8.50,0,1,1,0,,,6,13.6,14.6,9.6,,127,,PoweBr00
306,Hunter Renfrow,LVR,WR,28,6,1,0,0,0,0,0,0,0,,0,9,6,59,9.83,0,0,0,0,,,6,11.9,11.9,8.9,,125,,RenfHu00
307,Luke Schoonmaker,DAL,TE,25,6,0,0,0,0,0,0,0,0,,0,6,1,1,1.00,1,0,0,1,,,6,7.1,7.1,6.6,,57,,SchoLu00
308,Patrick Taylor,GNB,RB,25,4,0,0,0,0,0,0,11,31,2.82,0,10,5,28,5.60,0,0,0,0,,,6,10.9,10.9,8.4,,84,,TaylPa01
309,Deuce Vaughn,DAL,RB,22,5,0,0,0,0,0,0,20,40,2.00,0,5,5,19,3.80,0,0,0,0,,,6,10.9,10.9,8.4,,85,,VaugDe00
310,Ameer Abdullah,LVR,RB,30,6,0,0,0,0,0,0,1,4,4.00,0,11,6,46,7.67,0,0,0,0,,,5,11.0,11.0,8.0,,88,,AbduAm00
311,KhaDarel Hodge,ATL,WR,28,6,1,0,0,0,0,0,1,0,0.00,0,5,4,45,11.25,0,1,0,0,,,5,8.5,8.5,6.5,,132,,HodgKh00
312,Tanner Hudson,CIN,TE,29,2,0,0,0,0,0,0,0,0,,0,6,4,48,12.00,0,0,0,0,,,5,8.8,8.8,6.8,,61,,HudsTa00
313,Diontae Johnson,PIT,WR,27,2,1,0,0,0,0,0,0,0,,0,6,3,48,16.00,0,0,0,0,,,5,7.8,7.8,6.3,,131,,JohnDi01
314,Will Mallory,IND,TE,24,2,0,0,0,0,0,0,0,0,,0,3,2,49,24.50,0,0,0,0,,,5,6.9,6.9,5.9,,60,,MallWi00
315,Ray-Ray McCloud,SFO,WR,27,6,1,0,0,0,0,0,2,23,11.50,0,5,4,27,6.75,0,0,0,0,,,5,9.0,9.0,7.0,,130,,McClRa00
316,Elijah Mitchell,SFO,RB,25,3,0,0,0,0,0,0,18,49,2.72,0,4,3,2,0.67,0,0,0,0,,,5,8.1,8.1,6.6,,87,,MitcEl00
317,Tyler Scott,CHI,WR,22,6,0,0,0,0,0,0,2,19,9.50,0,9,5,32,6.40,0,0,0,0,,,5,10.1,10.1,7.6,,128,,ScotTy00
318,Jalen Tolbert,DAL,WR,24,6,2,0,0,0,0,0,0,0,,0,9,7,71,10.14,0,1,1,0,,,5,12.1,13.1,8.6,,129,,TolbJa00
319,Malik Willis,TEN,QB,24,2,0,4,5,74,0,0,3,17,5.67,0,0,0,0,,0,0,0,0,,,5,4.7,4.7,4.7,,38,,WillMa12
320,Randall Cobb,NYJ,WR,33,6,1,0,0,0,0,0,0,0,,0,12,3,20,6.67,0,0,0,0,1,,4,7.0,7.0,5.5,,135,,CobbRa00
321,Connor Heyward,PIT,TE,24,5,0,0,0,0,0,0,1,0,0.00,0,10,5,42,8.40,0,0,0,0,,,4,9.2,9.2,6.7,,62,,HeywCo00
322,Brian Hoyer,LVR,QB,38,2,0,6,10,102,0,0,3,-3,-1.00,0,0,0,0,,0,0,0,0,,,4,3.8,3.8,3.8,,40,,HoyeBr00
323,D'Ernest Johnson,JAX,RB,27,6,0,0,0,0,0,0,7,27,3.86,0,3,3,15,5.00,0,0,0,0,,,4,7.2,7.2,5.7,,90,,JohnDE04
324,Quentin Johnston,LAC,WR,22,5,1,0,0,0,0,0,0,0,,0,13,6,44,7.33,0,0,0,0,,,4,10.4,10.4,7.4,,133,,JohnQu02
325,Drew Lock,SEA,QB,27,1,0,2,6,63,0,0,1,11,11.00,0,0,0,0,,0,0,0,0,,,4,3.6,3.6,3.6,,42,,LockDr00
326,Isaiah McKenzie,IND,WR,28,6,0,0,0,0,0,0,1,4,4.00,0,7,5,39,7.80,0,0,0,0,,,4,9.3,9.3,6.8,,134,,McKeIs00
327,MyCole Pruitt,ATL,TE,31,6,5,0,0,0,0,0,0,0,,0,5,3,41,13.67,0,0,0,0,,,4,7.1,7.1,5.6,,63,,PruiMy00
328,Jeremy Ruckert,NYJ,TE,23,6,1,0,0,0,0,0,0,0,,0,4,4,36,9.00,0,0,0,0,,,4,7.6,7.6,5.6,,66,,RuckJe00
329,Trent Sherfield,BUF,WR,27,6,0,0,0,0,0,0,0,0,,0,7,5,39,7.80,0,0,0,0,,,4,8.9,8.9,6.4,,136,,SherTr00
330,Isaiah Spiller,LAC,RB,22,4,0,0,0,0,0,0,9,24,2.67,0,2,2,15,7.50,0,0,0,0,,,4,5.9,5.9,4.9,,91,,SpilIs00
331,Ian Thomas,CAR,TE,27,5,2,0,0,0,0,0,0,0,,0,4,2,36,18.00,0,0,0,0,,,4,5.6,5.6,4.6,,67,,ThomIa00
