Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,PlayerID
380,Zach Pascal,ARI,WR,29,6,0,0,0,0,0,0,0,0,,0,8,4,19,4.75,0,0,0,0,,,2,5.9,5.9,3.9,,153,,PascZa00
381,Patrick Ricard,BAL,RB,29,6,3,0,0,0,0,0,0,0,,0,2,2,17,8.50,0,0,0,0,,,2,3.7,3.7,2.7,,111,,RicaPa00
382,Sterling Shepard,NYG,WR,30,6,0,0,0,0,0,0,0,0,,0,5,3,23,7.67,0,0,0,0,,,2,5.3,5.3,3.8,,148,,ShepSt00
383,Ben Skowronek,LAR,WR,26,6,0,0,0,0,0,0,1,11,11.00,0,5,2,13,6.50,0,0,0,0,,,2,4.4,4.4,3.4,,146,,SkowBe00
384,Stone Smartt,LAC,TE,25,5,1,0,0,0,0,0,0,0,,0,2,1,24,24.00,0,0,0,0,,,2,3.4,3.4,2.9,,74,,SmarSt00
385,Equanimeous St. Brown,CHI,WR,27,2,0,0,0,0,0,0,0,0,,0,2,1,21,21.00,0,0,0,0,,,2,3.1,3.1,2.6,,151,,St.BEq00
386,Geoff Swaim,ARI,TE,30,6,2,0,0,0,0,0,0,0,,0,3,2,22,11.00,0,0,0,0,,,2,4.2,4.2,3.2,,76,,SwaiGe00
387,Quez Watkins,PHI,WR,25,3,2,0,0,0,0,0,0,0,,0,5,4,21,5.25,0,0,0,0,,,2,6.1,6.1,4.1,,152,,WatkQu00
388,Trevon Wesco,TEN,TE,28,6,4,0,0,0,0,0,0,0,,0,2,1,21,21.00,0,0,0,0,,,2,3.1,3.1,2.6,,77,,WescTr00
389,Mitchell Wilcox,CIN,TE,27,6,0,0,0,0,0,0,0,0,,0,4,3,17,5.67,0,0,0,0,,,2,4.7,4.7,3.2,,81,,WilcMi01
390,Emanuel Wilson,GNB,RB,24,3,0,0,0,0,0,0,5,11,2.20,0,1,1,6,6.00,0,1,0,0,,,2,2.7,2.7,2.2,,112,,WilsEm00
391,Jameis Winston,NOR,QB,29,3,0,10,17,101,0,1,3,-4,-1.33,0,0,0,0,,0,0,0,0,,,2,1.6,2.6,2.6,,44,,WinsJa00
392,Miles Boykin,PIT,WR,27,5,0,0,0,0,0,0,0,0,,0,2,1,5,5.00,0,0,0,0,,,1,1.5,1.5,1.0,,162,,BoykMi00
393,Chase Brown,CIN,RB,23,5,0,0,0,0,0,0,2,6,3.00,0,3,3,7,2.33,0,0,0,0,,,1,4.3,4.3,2.8,,115,,BrowCh10
394,Kenyan Drake,BAL,RB,29,2,0,0,0,0,0,0,1,0,0.00,0,3,2,31,15.50,0,1,1,0,,,1,3.1,4.1,2.1,,119,,DrakKe00
395,Payne Durham,TAM,TE,23,1,0,0,0,0,0,0,0,0,,0,1,1,8,8.00,0,0,0,0,,,1,1.8,1.8,1.3,,88,,DurhPa00
396,Chris Evans,CIN,RB,26,4,0,0,0,0,0,0,2,12,6.00,0,1,1,-1,-1.00,0,0,0,0,,,1,2.1,2.1,1.6,,120,,EvanCh02
397,Zach Evans,LAR,RB,22,2,0,0,0,0,0,0,4,10,2.50,0,0,0,0,,0,0,0,0,,,1,1.0,1.0,1.0,,122,,EvanZa00
398,C.J. Ham,MIN,RB,30,6,3,0,0,0,0,0,0,0,,0,4,3,14,4.67,0,0,0,0,,,1,4.4,4.4,2.9,,113,,HamxC.00
399,Mecole Hardman,NYJ,WR,25,5,0,0,0,0,0,0,0,0,,0,3,1,6,6.00,0,0,0,0,,,1,1.6,1.6,1.1,,160,,HardMe00
400,Evan Hull,IND,RB,23,1,0,0,0,0,0,0,1,1,1.00,0,1,1,6,6.00,0,0,0,0,,,1,1.7,1.7,1.2,,123,,HullEv00
401,Tyler Huntley,BAL,QB,25,1,0,0,0,0,0,0,2,8,4.00,0,0,0,0,,0,0,0,0,,,1,0.8,0.8,0.8,,46,,HuntTy01
402,Rakim Jarrett,TAM,WR,22,5,0,0,0,0,0,0,1,0,0.00,0,2,2,10,5.00,0,0,0,0,,,1,3.0,3.0,2.0,,156,,JarrRa00
403,Jakob Johnson,LVR,RB,29,6,3,0,0,0,0,0,0,0,,0,2,1,12,12.00,0,0,0,0,,,1,2.2,2.2,1.7,,118,,JohnJa12
404,Tim Jones,JAX,WR,25,6,1,0,0,0,0,0,0,0,,0,5,3,10,3.33,0,0,0,0,,,1,4.0,4.0,2.5,,157,,JoneTi00
405,Tucker Kraft,GNB,TE,23,5,0,0,0,0,0,0,0,0,,0,2,2,5,2.50,0,0,0,0,,,1,2.5,2.5,1.5,,90,,KrafTu00
406,Marcedes Lewis,CHI,TE,39,6,1,0,0,0,0,0,0,0,,0,1,1,8,8.00,0,0,0,0,,,1,1.8,1.8,1.3,,89,,LewiMa00
407,Chris Manhertz,DEN,TE,31,6,1,0,0,0,0,0,0,0,,0,3,1,10,10.00,0,0,0,0,,,1,2.0,2.0,1.5,,84,,ManhCh00
408,Anthony McFarland Jr.,PIT,RB,24,2,0,0,0,0,0,0,0,0,,0,2,2,11,5.50,0,0,0,0,,,1,3.1,3.1,2.1,,121,,McFaAn00
409,Scott Miller,ATL,WR,26,6,0,0,0,0,0,0,0,0,,0,4,3,14,4.67,0,0,0,0,,,1,4.4,4.4,2.9,,155,,MillSc01
410,Johnny Mundt,MIN,TE,29,6,0,0,0,0,0,0,0,0,,0,1,1,11,11.00,0,0,0,0,,,1,2.1,2.1,1.6,,83,,MundJo00
411,Devine Ozigbo,DET,RB,27,1,0,0,0,0,0,0,3,5,1.67,0,1,1,8,8.00,0,0,0,0,,,1,2.3,2.3,1.8,,116,,OzigDe01
412,Cordarrelle Patterson,ATL,RB,32,3,0,0,0,0,0,0,1,0,0.00,0,2,2,13,6.50,0,0,0,0,,,1,3.3,3.3,2.3,,117,,PattCo00
413,Rashaad Penny,PHI,RB,27,1,0,0,0,0,0,0,3,9,3.00,0,1,1,5,5.00,0,0,0,0,,,1,2.4,2.4,1.9,,114,,PennRa00
414,Cooper Rush,DAL,QB,30,3,0,4,5,28,0,0,4,-4,-1.00,0,0,0,0,,0,0,0,0,,,1,0.7,0.7,0.7,,47,,RushCo00
415,Drew Sample,CIN,TE,27,6,2,0,0,0,0,0,0,0,,0,3,3,10,3.33,0,0,0,0,,,1,4.0,4.0,2.5,,85,,SampDr00
416,Ben Sims,GNB,TE,23,5,0,0,0,0,0,0,0,0,,0,1,1,12,12.00,0,0,0,0,,,1,2.2,2.2,1.7,,82,,SimsBe00
417,Willie Snead,SFO,WR,31,1,0,0,0,0,0,0,0,0,,0,1,1,9,9.00,0,0,0,0,,,1,1.9,1.9,1.4,,159,,SneaWi00
418,Jack Stoll,PHI,TE,25,6,4,0,0,0,0,0,0,0,,0,3,2,10,5.00,0,0,0,0,,,1,3.0,3.0,2.0,,86,,StolJa00
419,Cody Thompson,SEA,WR,27,5,0,0,0,0,0,0,0,0,,0,1,1,10,10.00,0,0,0,0,,,1,2.0,2.0,1.5,,158,,ThomCo04
420,Dorian Thompson-Robinson,CLE,QB,24,2,1,19,36,121,0,3,4,24,6.00,0,0,0,0,,0,1,0,0,,,1,1.2,4.2,4.2,,45,,ThomDo02
421,Tyquan Thornton,NWE,WR,23,1,1,0,0,0,0,0,0,0,,0,2,1,6,6.00,0,0,0,0,,,1,1.6,1.6,1.1,,161,,ThorTy00
422,Cedric Tillman,CLE,WR,23,4,0,0,0,0,0,0,0,0,,0,3,1,5,5.00,0,0,0,0,,,1,1.5,1.5,1.0,,163,,TillCe01
423,Mitchell Trubisky,PIT,QB,29,1,0,3,5,18,0,0,0,0,,0,0,0,0,,0,0,0,0,,,1,0.7,0.7,0.7,,48,,TrubMi00
424,Darnell Washington,PIT,TE,22,5,4,0,0,0,0,0,0,0,,0,3,1,10,10.00,0,0,0,0,,,1,2.0,2.0,1.5,,87,,WashDa03
425,Alex Armah,WAS,,29,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,1,,ArmaAl00
426,C.J. Beathard,JAX,QB,30,2,0,2,2,9,0,0,3,-2,-0.67,0,0,0,0,,0,0,0,0,,,,0.2,0.2,0.2,,49,,BeatC.00
427,Brandon Bolden,LVR,,33,6,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,127,,BoldBr00
428,Lynn Bowden Jr.,NOR,,26,4,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,167,,BowdLy00
429,Teddy Bridgewater,DET,QB,31,1,0,0,0,0,0,0,2,-2,-1.00,0,0,0,0,,0,0,0,0,,,,-0.2,-0.2,-0.2,,53,,BridTe00
430,Jake Browning,CIN,QB,27,1,0,0,1,0,0,0,1,-1,-1.00,0,0,0,0,,0,0,0,0,,,,-0.1,-0.1,-0.1,,52,,BrowJa08
431,Jason Cabinda,DET,RB,27,3,0,0,0,0,0,0,1,0,0.00,0,0,0,0,,0,0,0,0,,,,,,,,128,,CabiJa00
432,Grant Calcaterra,PHI,,25,6,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,92,,CalcGr00
433,Julius Chestnut,TEN,,23,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,129,,ChesJu00
434,Corey Clement,ARI,,29,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,130,,ClemCo00
435,Sean Clifford,GNB,QB,25,1,0,0,0,0,0,0,1,0,0.00,0,0,0,0,,0,1,0,0,,,,,,,,50,,ClifSe00
436,Chris Conley,SFO,,31,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,168,,ConlCh00
437,Tanner Conner,MIA,,25,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,93,,ConnTa00
438,Britain Covey,PHI,,26,6,0,0,0,0,0,0,0,0,,0,0,0,0,,0,1,0,0,,,,,,,,169,,CoveBr00
439,Darrell Daniels,DET,,29,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,94,,DaniDa02
440,Jaelon Darden,CLE,,24,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,170,,DardJa00
441,Sam Darnold,SFO,QB,26,4,0,1,1,1,0,0,5,-5,-1.00,0,0,0,0,,0,0,0,0,,,,-0.5,-0.5,-0.5,,54,,DarnSa00
442,Malik Davis,DAL,,25,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,131,,DaviMa02
443,Phillip Dorsett,DEN,,30,1,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,171,,DorsPh00
444,Greg Dortch,ARI,,25,6,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,172,,DortGr01
445,Keelan Doss,LAC,,27,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,173,,DossKe00
446,Ross Dwelley,SFO,,28,6,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,95,,DwelRo00
447,Simi Fehoko,LAC,,26,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,174,,FehoSi00
448,Royce Freeman,LAR,,27,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,132,,FreeRo00
449,Myles Gaskin,MIN,,26,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,133,,GaskMy00
450,Reggie Gilliam,BUF,RB,26,6,0,0,0,0,0,0,0,0,,0,1,1,3,3.00,0,0,0,0,,,,1.3,1.3,0.8,,125,,GillRe00
451,Antoine Green,DET,WR,24,5,0,0,0,0,0,0,0,0,,0,1,1,2,2.00,0,0,0,0,,,,1.2,1.2,0.7,,164,,GreeAn00
452,Justin Hardee,NYJ,,29,5,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,175,,HardJu01
453,Jacob Harris,JAX,,26,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,96,,HarrJa03
454,N'Keal Harry,MIN,,26,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,176,,HarrNK00
455,Jamycal Hasty,JAX,,27,2,0,0,0,0,0,0,0,0,,0,2,0,0,,0,0,0,0,,,,,,,,134,,HastJa02
456,Peyton Hendershot,DAL,TE,24,3,0,0,0,0,0,0,1,0,0.00,0,2,1,3,3.00,0,0,0,0,,,,1.3,1.3,0.8,,91,,HendPe01
457,Parker Hesse,ATL,,28,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,97,,HessPa00
458,J.P. Holtz,NOR,,30,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,98,,HoltJ.01
459,Travis Homer,CHI,,25,5,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,135,,HomeTr00
460,Jesper Horsted,LVR,,26,6,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,177,,HorsJe00
461,Godwin Igwebuike,ATL,,29,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,136,,IgweGo00
462,Taiwan Jones,NYG,,35,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,137,,JoneTa00
463,Ko Kieft,TAM,,25,5,4,0,0,0,0,0,0,0,,0,3,0,0,,0,0,0,0,,,,,,,,99,,KiefKo00
464,Keith Kirkwood,NOR,WR,29,6,2,0,0,0,0,0,0,0,,0,4,1,1,1.00,0,0,0,0,,,,1.1,1.1,0.6,,166,,KirkKe00
465,Charlie Kolar,BAL,,24,4,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,100,,KolaCh00
466,Tyler Kroft,MIA,,31,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,101,,KrofTy00
467,Kwamie Lassiter II,CIN,WR,25,1,0,0,0,0,0,0,0,0,,0,1,1,2,2.00,0,0,0,0,,,,1.2,1.2,0.7,,165,,LassKw00
468,Sean McKeon,DAL,,26,3,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,102,,McKeSe01
469,Kirk Merritt,NOR,,26,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,178,,MerrKi00
470,James Mitchell,DET,,24,4,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,103,,MitcJa00
471,Jalen Nailor,MIN,,24,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,179,,NailJa00
472,Dare Ogunbowale,HOU,RB,29,1,0,0,0,0,0,0,2,4,2.00,0,0,0,0,,0,0,0,0,,,,0.4,0.4,0.4,,124,,OgunDa00
473,Qadree Ollison,PIT,,27,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,138,,OlliQa00
474,Matthew Orzech,GNB,,28,5,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,104,,OrzeMa00
475,Kevin Rader,TEN,,28,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,105,,RadeKe00
476,Jalen Reagor,NWE,,24,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,180,,ReagJa00
477,Giovanni Ricci,CAR,RB,27,5,0,0,0,0,0,0,0,0,,0,1,1,2,2.00,0,0,0,0,,,,1.2,1.2,0.7,,126,,RiccGi00
478,Demarcus Robinson,LAR,,29,5,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,181,,RobiDe01
479,Aaron Rodgers,NYJ,QB,40,1,1,0,1,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,51,,RodgAa00
480,Amari Rodgers,IND,,24,3,0,0,0,0,0,0,0,0,,0,2,0,0,,0,0,0,0,,,,,,,,182,,RodgAm00
481,Matthew Slater,NWE,,38,6,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,183,,SlatMa00
482,Ihmir Smith-Marsette,CAR,,24,6,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,184,,SmitIh00
483,Stephen Sullivan,CAR,,27,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,106,,SullSt00
484,Trent Taylor,CHI,,29,6,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,185,,TaylTr02
485,Laquon Treadwell,BAL,,28,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,186,,TreaLa00
486,Tylan Wallace,BAL,,24,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,187,,WallTy00
487,Dwayne Washington,DEN,,29,5,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,139,,WashDw00
488,Montrell Washington,KAN,,24,4,0,0,0,0,0,0,0,0,,0,0,0,0,,0,2,0,0,,,,,,,,188,,WashMo00
489,Kristian Wilkerson,LVR,,26,2,1,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,189,,WilkKr00
490,Juwann Winfree,IND,,27,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,190,,WinfJu00
491,Charlie Woerner,SFO,,26,6,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,107,,WoerCh00
492,Kyle Allen,BUF,QB,27,4,0,0,0,0,0,0,7,-7,-1.00,0,0,0,0,,0,0,0,0,,,-1,-0.7,-0.7,-0.7,,55,,AlleKy00
493,Deon Jackson,IND,RB,24,2,1,0,0,0,0,0,13,14,1.08,0,6,5,14,2.80,0,2,2,0,,,-1,3.8,5.8,1.3,,141,,JackDe02
494,Richie James,KAN,WR,28,2,0,0,0,0,0,0,0,0,,0,3,1,6,6.00,0,1,1,0,,,-1,-0.4,0.6,-0.9,,191,,JameRi00
495,Kyle Philips,TEN,WR,24,2,0,0,0,0,0,0,0,0,,0,3,1,6,6.00,0,1,1,0,,,-1,-0.4,0.6,-0.9,,192,,PhilKy01
496,Adam Prentice,NOR,RB,26,5,1,0,0,0,0,0,1,5,5.00,0,2,1,5,5.00,0,1,1,0,,,-1,,1.0,-0.5,,140,,PrenAd00
497,David Wells,TAM,TE,28,4,0,0,0,0,0,0,0,0,,0,2,2,-10,-5.00,0,1,0,0,,,-1,1.0,1.0,,,108,,WellDa00
498,Blaine Gabbert,KAN,QB,34,1,0,3,5,31,0,2,2,-1,-0.50,0,0,0,0,,0,0,0,0,,,-3,-2.9,-0.9,-0.9,,56,,GabbBl00
499,Gunner Olszewski,PIT,WR,27,2,0,0,0,0,0,0,0,0,,0,1,1,0,0.00,0,2,2,0,,,-4,-3.0,-1.0,-3.5,,193,,OlszGu00
